grammar lhs rhs log.prob
NoCopy T ace -4.65758190233
NoCopy T atk -4.65758190233
NoCopy T acs -4.48322851518
NoCopy T ats -4.14675627856
NoCopy T ahb -4.09118642741
NoCopy T ahc -6.60349205138
NoCopy T aha -6.60349205138
NoCopy T ahf -7.70210434005
NoCopy T ahg -6.60349205138
NoCopy T ahd -4.75766536088
NoCopy T ahm -7.70210434005
NoCopy T bbn -6.60349205138
NoCopy T bbm -6.60349205138
NoCopy T bbl -5.756194191
NoCopy T bbk -6.60349205138
NoCopy T bbj -6.60349205138
NoCopy T bbi -7.70210434005
NoCopy T bbh -4.86889099599
NoCopy T bbg -4.99405413895
NoCopy T bbf -4.86889099599
NoCopy T bbe -4.86889099599
NoCopy T bbd -4.26811713557
NoCopy T bbc -3.08698382321
NoCopy T bbb -2.92298084694
NoCopy T bba -2.93993040525
NoCopy T axr -6.60349205138
NoCopy T aqf -5.756194191
NoCopy T aiy -3.43942446301
NoCopy T aix -3.59123047588
NoCopy T aiz -3.33265648758
NoCopy T aiu -4.99405413895
NoCopy T ait -4.40626747405
NoCopy T aiw -3.7318124265
NoCopy T aiv -7.70210434005
NoCopy T aaw -6.60349205138
NoCopy T aii -6.60349205138
NoCopy T aib -6.60349205138
NoCopy T avd -7.70210434005
NoCopy T ave -5.50487976271
NoCopy T ava -4.48322851518
NoCopy T avb -4.03854269392
NoCopy T avc -3.89544185028
NoCopy T afn -4.33480851006
NoCopy T afo -4.56661012412
NoCopy T afx -7.70210434005
NoCopy T afy -6.60349205138
NoCopy T aft -4.75766536088
NoCopy T afu -4.14675627856
NoCopy T afv -6.60349205138
NoCopy T afw -5.756194191
NoCopy T afp -3.7318124265
NoCopy T afq -4.40626747405
NoCopy T afr -4.40626747405
NoCopy T afs -4.86889099599
NoCopy T aob -3.14822744845
NoCopy T awx -7.70210434005
NoCopy T nid -6.60349205138
NoCopy T awi -7.70210434005
NoCopy T ago -3.69477115482
NoCopy T agm -7.70210434005
NoCopy T agl -6.60349205138
NoCopy T agk -7.70210434005
NoCopy T agi -7.70210434005
NoCopy T agh -6.60349205138
NoCopy T agf -5.756194191
NoCopy T age -6.09266642762
NoCopy T agd -7.70210434005
